37.5,13.2,28.1,28.8,21.7,47.5,19.1,9.5,15.2,15.6,12.2,22.6,3.1,7.2,2.3,11.3,1.7,15.8
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
36.6,13.4,27.3,29.1,21.1,47.9,18.8,9.6,14.9,15.8,11.9,22.8,3.3,7.0,2.4,11.1,1.8,15.5
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
36.6,13.4,27.4,29.1,21.1,47.9,18.7,9.6,14.9,15.8,11.8,22.8,3.2,7.1,2.4,11.2,1.8,15.7
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
36.1,13.5,26.9,29.4,20.9,48.2,18.4,9.7,14.7,15.9,11.8,23.0,3.2,7.0,2.3,11.2,1.7,15.7
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
36.0,13.6,26.8,29.4,20.7,48.2,18.4,9.7,14.6,15.9,11.7,23.0,3.2,7.1,2.3,11.2,1.8,15.6
BAY-2022_03_18-050C,BAY-2022_03_18-050P,BAY-2022_03_18-075C,BAY-2022_03_18-075P,BAY-2022_03_18-100C,BAY-2022_03_18-100P,SAN-2022_03_18-040C,SAN-2022_03_18-040P,SAN-2022_03_18-050C,SAN-2022_03_18-050P,SAN-2022_03_18-060C,SAN-2022_03_18-060P,ING-2022_03_18-015C,ING-2022_03_18-015P,ING-2022_03_18-020C,ING-2022_03_18-020P,ING-2022_03_18-025C,ING-2022_03_18-025P
